fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph2021_x,FPGAP_LILEE,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler_x,WallType,tenure4x_fp,Loftins,EPC,SAP12,hhcompx_x,Ageyng,Ageold,Hhsize,ethhrp2x_x,Hhsick,Unoc,emphrp3x_x,ECO_AW,FloorArea,gorehs_x,HTHG,WHDBroad,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,BHCflg10,AHCflg10,FullincDeciles,aagpd2021,aagph2021_y,tenure8x,tenure4x,tenure2x,vacantx,gorehs_y,region3x,govreg1,hhcompx_y,hhcomp1,hhtype11,hhtype7,hhtype6,hhsizex,ndepchild,noUnits1,sft,agehrp2x,agehrp4x,agehrp6x,agepart6x,ager,pyngbx,ageoldbx,emphrpx,emphrp3x_y,nssech9,nssecp9,hhempx,empprtx,empprt3x,workless,atspahrp,atspaprt,atspaany,ethhrp2x_y,ethprt2x,sexhrp,freeLeas,owntype,hatentp3,srtentype2,bedstdx,nbedsx,bedrqx,lharqx,lhastdx,nrooms1a,sharer,accomhh1,lenresb,lenownb,ftbuyer,prevten,tenex,tenure2,tenure4,hhltsick,hhwhch,mortwkx,rentwkx,rentExS,hhincx,hhinc5x,amthbenx,housbenx,hhbensx,JOINTINCx,ALLincx,HYEARGRx,hhvulx,market_rent,equityr,equityr5,BHCinceq,BHCinceqv5,BHCinceqv60h,AHCinceq,AHCinceqv5,AHCinceqv60h,dampalfm,dhhhsrsym,dhomeszm,dhcostzm,dwtypenx,dwtype8x,dwtype3x,housex,dwage7x,dwage6x,dwage5x,dwage4x,alltypex,floorx,floor5x,floory,floor5y,storeyx,dblglaz2,dblglaz4,parking,neivisx,lv1upkpx,lv2trafx,lv3utilx,lvnumx,lvanyx,attic,heat4x,heat7x,sysage,fuelx,watersys,boiler_y,mainsgas,watercyl,loftinsx,loftins4,loftins6,loftinsu,loftu4,wallinsz,wallcavy,pcavwallx,wins95x,sap12,sap412,rdsap09,EPceeb12e,EPceir12e,EPceib12e,Equivalised fuel costs,Equivalised AHC income,household_income_threshold,fpLIHCflg
0,17652,22592,1090,1,4,3,3,2716,0,1,3,1,72,3,8,1,1,1,5,1,4,2,1,72,5,4,4,2,1,1,0,1,4,2,10,0,1,4940,24220,133,345,557,54,0,0,4,2680,2716,4,4,2,1,10,3,4,5,3,7,4,4,2,0,1,1,1,3,4,-9,4,4,4,1,1,7,0,1,-9,-9,0,0,-9,0,1,-9,2,-9,-9,1,5,3,2,2,2,3,4,2,2,5,-9,3,9,5,4,2,1,0,-9.0,95.0,95.0,14623.76,1,0.0,2,2,16120.0,16120.0,25720.0,2,2,-99999999.0,-9,434.3253846153846,2,0,339.3253846153846,2,0,0,0,0,-9.0,3,3,1,1,5,5,5,4,10,49.51,1,54.16,2,2,2,4,3,2,0,0,0,0,0,2,1,1,3,1,1,5,1,0,100,3,4,100,3,1,1,1,1,71.88,4,72.45,3,71.934,3,1090.0,17652,17145.699999999997,0
0,49029,49029,1354,1,9,1,1,3051,0,0,3,1,70,4,9,1,1,1,1,1,1,3,1,70,1,5,3,2,1,2,1,1,3,4,6,0,0,0,50889,134,492,676,53,0,0,8,3040,3051,1,1,1,1,6,3,2,1,1,1,1,1,2,0,1,1,1,3,4,4,4,5,3,1,1,2,6,1,2,1,0,0,0,0,1,1,1,1,1,-9,-9,5,3,1,1,5,6,2,1,5,5,2,9,2,1,1,2,0,0.0,-9.0,-9.0,50889.15990000001,5,-9.0,-9,2,64987.5,64987.5,64987.5,2,-9,320000.0,5,942.753075,5,0,942.753075,5,0,0,0,0,-9.0,4,4,1,1,6,6,5,4,6,98.19,4,104.12,4,2,2,4,4,1,0,0,0,0,0,2,1,1,3,1,1,1,1,1,200,4,6,200,4,1,1,1,2,69.64,3,70.09,3,65.165,4,1354.0,49029,17409.699999999997,0
0,45700,55300,1677,1,9,1,88,1477,0,0,3,1,70,5,9,0,2,2,-9,1,2,1,1,70,1,5,3,2,1,2,0,1,3,2,9,0,0,9600,57102,493,458,632,93,0,0,9,1467,1477,2,2,1,1,9,2,4,1,1,1,1,1,2,0,1,2,1,2,3,2,3,5,3,1,1,1,3,1,1,1,0,0,0,0,1,1,1,-9,-9,-9,-9,4,2,1,1,4,4,2,4,5,-9,3,9,3,5,3,2,0,-9.0,184.6153846153846,184.6153846153846,57102.31990000001,5,0.0,2,2,72412.5,72412.5,72412.5,2,3,-99999999.0,-9,1063.525382692308,5,0,878.9099980769232,5,0,0,0,0,-9.0,7,7,2,2,7,6,5,4,2,66.85,2,69.0,2,3,2,4,4,1,0,0,0,0,0,2,2,2,3,4,3,-9,0,1,-9,-9,-9,-9,-9,1,1,1,2,69.88,3,71.05,3,61.975,4,1677.0,45700,17732.699999999997,0
1,0,3973,1285,1,1,3,3,1034,94,0,1,2,63,5,3,1,1,1,5,4,1,3,2,63,6,5,3,1,1,1,1,3,1,3,4,1,1,6300,4920,42,639,560,44,1,1,1,1033,1034,1,1,1,1,4,1,1,6,7,11,6,5,1,0,1,0,1,3,4,-9,4,5,3,6,3,6,0,4,-9,-9,1,0,-9,0,1,-9,2,1,1,-9,-9,4,2,1,1,4,4,2,4,6,6,1,9,1,2,1,1,0,121.1538461538462,-9.0,-9.0,4938.12,1,-9.0,-9,1,4938.12,4938.12,4938.12,1,-9,-88888888.0,-8,114.0103329506314,1,1,-77.18435013262601,1,1,0,0,0,-9.0,7,7,2,2,1,1,1,1,2,71.12,3,75.48,3,2,2,4,2,1,0,1,0,1,1,2,1,1,1,1,1,5,1,0,200,4,6,200,4,4,2,6,4,63.42,3,67.77,4,61.52,4,1285.0,0,17340.699999999997,0
0,38621,71063,6365,1,8,1,88,3008,0,0,4,4,31,4,3,0,1,3,4,4,1,2,4,31,3,4,4,4,1,2,1,1,3,5,2,0,0,0,74388,230,4219,1815,102,0,0,10,3004,3008,1,1,1,1,2,1,1,3,1,2,2,2,4,2,1,2,1,3,4,5,4,4,4,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,1,-9,-9,5,5,2,3,5,8,2,1,5,5,2,9,2,1,1,2,0,0.0,-9.0,-9.0,74388.34348799998,5,-9.0,-9,2,94360.4628,94360.4628,94360.4628,2,-9,1000000.0,5,823.3241831325299,4,0,742.7815999999999,4,0,0,1,1,14329.160982946,4,4,1,1,1,1,1,1,5,457.44,5,470.12,5,3,1,2,3,1,0,0,0,0,0,1,1,1,2,3,1,4,0,1,75,2,3,75,2,4,2,5,4,30.92,2,29.88,6,65.652,4,6365.0,38621,22420.699999999997,0
0,10459,11630,818,1,2,3,2,3341,0,1,2,1,75,5,6,1,1,1,5,4,3,1,1,75,7,6,5,1,1,1,0,1,4,1,8,0,1,5564,12447,109,273,388,47,0,1,1,3248,3341,3,3,2,1,8,2,3,7,6,10,5,6,1,0,1,0,2,3,5,-9,4,6,5,2,1,4,0,2,-9,-9,0,0,-9,0,1,-9,1,-9,-9,-9,1,3,1,1,1,3,3,2,4,6,-9,3,9,4,3,2,1,0,-9.0,107.0,107.0,12446.52,1,0.0,2,2,13000.0,13000.0,13000.0,2,1,-99999999.0,-9,338.361653272101,1,1,206.3832891246685,1,1,0,0,0,-9.0,7,7,2,2,4,4,4,4,2,43.29,1,41.8,1,3,2,4,2,1,0,0,0,0,0,2,1,1,1,1,1,5,1,0,-9,-9,-9,-9,-9,4,2,6,4,74.82,4,75.52,3,77.494,3,818.0,10459,16873.699999999997,0
0,47834,79924,1757,1,9,1,1,5352,0,0,4,2,67,3,4,1,1,1,4,2,1,2,2,67,2,5,5,3,1,2,0,1,3,4,8,0,0,12000,81876,120,668,908,62,0,0,10,5303,5352,1,1,1,1,8,2,3,2,1,4,1,1,3,0,1,3,2,3,5,4,4,5,5,1,1,1,3,1,1,1,0,0,0,0,1,1,1,1,1,-9,-9,4,3,2,2,4,5,2,2,7,7,2,9,1,2,1,2,0,230.7692307692308,-9.0,-9.0,65837.39424,5,-9.0,-9,2,85068.4665,85068.4665,100000.0,2,-9,480000.0,5,1154.114433776749,5,0,918.4527930660888,5,0,0,0,0,-9.0,3,3,1,1,2,2,2,2,8,97.8,4,102.53,4,2,2,4,4,1,0,0,0,0,0,2,1,1,2,1,1,4,1,1,100,3,4,100,3,2,1,3,3,66.95,3,65.21,4,61.357,4,1757.0,47834,17812.699999999997,0
0,22826,29209,1318,1,5,1,1,334,0,0,3,1,72,3,8,1,1,1,4,2,4,3,1,72,4,2,3,3,1,2,0,1,4,3,9,0,0,6840,30465,170,381,704,63,0,0,5,333,334,4,4,2,1,9,2,4,4,3,5,3,3,3,2,1,0,1,2,3,-9,3,2,3,2,1,2,0,2,-9,-9,0,0,-9,0,1,-9,2,-9,-9,1,5,3,2,2,2,3,4,2,2,4,-9,3,9,5,4,2,2,0,-9.0,131.5384615384615,131.5384615384615,30464.71,3,0.0,2,2,38546.55,38546.55,38546.55,2,2,-99999999.0,-9,524.9543493889288,3,0,438.9415227629513,3,0,0,0,0,-9.0,3,3,1,1,5,5,5,4,10,69.05000000000001,2,73.4,3,2,2,4,4,1,0,0,0,0,0,2,1,1,2,1,1,4,1,1,250,4,6,250,4,2,1,1,3,71.55,4,71.65,3,69.807,3,1318.0,22826,17373.699999999997,0
0,13136,30928,1651,1,2,2,2,432,0,0,2,1,80,3,9,1,1,1,5,1,4,3,1,80,3,2,2,5,1,2,0,3,4,4,9,0,0,7020,27108,195,316,1057,82,0,0,6,430,432,4,4,2,1,9,2,4,3,1,2,2,2,5,3,2,1,1,1,2,2,2,2,2,6,3,7,7,1,1,1,0,0,0,0,1,1,2,-9,-9,5,9,3,3,3,3,3,5,2,2,1,-9,3,5,5,4,2,2,0,-9.0,135.0,135.0,27107.861,3,111.9230769230769,1,1,32012.005,37832.005,32012.005,1,2,-99999999.0,-9,343.8512783459316,1,1,252.6718195266273,1,1,0,0,0,-9.0,3,3,1,1,7,6,5,4,10,96.61,4,101.38,4,2,2,4,3,1,0,0,0,0,0,2,1,1,1,1,1,5,1,0,200,4,6,200,4,1,1,1,2,80.03,4,79.44,3,80.178,3,1651.0,13136,17706.699999999997,1
0,42113,64960,1792,1,9,1,1,2173,0,1,3,1,72,3,6,1,1,1,5,1,1,3,1,72,3,3,3,3,1,1,0,1,3,5,5,0,0,5160,66613,131,772,829,60,0,0,9,2164,2173,1,1,1,1,5,3,2,3,1,2,2,2,3,1,1,1,1,3,4,4,4,3,3,1,1,-8,3,1,2,1,0,0,0,0,1,1,1,1,1,-9,-9,4,3,2,2,4,6,2,2,5,5,2,9,1,2,1,1,0,99.23076923076924,-9.0,-9.0,66612.91990000001,5,-9.0,-9,2,89932.5,89932.5,89932.5,2,-9,130000.0,4,939.5592813765184,5,0,810.1289260563382,5,0,0,0,0,-9.0,3,3,1,1,4,4,4,4,10,115.23,5,121.96,5,2,2,4,3,1,0,0,0,0,0,1,1,1,1,1,1,5,1,0,150,4,5,150,4,1,1,1,1,71.54,4,72.22,3,69.909,3,1792.0,42113,17847.699999999997,0
